Customer ID,Age,Gender,Total amount spent in the last year,Number of purchases in the last year,Average order value,Time since last purchase (in days),Newsletter Subscription
CUST00113,46,Non-binary,173.47,4,296.89,331,No
CUST00114,59,Non-binary,812.61,11,371.39,165,No
CUST00115,23,Male,1206.12,4,374.15,165,Yes
CUST00116,38,Male,2861,20,442.99,83,No
CUST00117,25,Female,321.44,20,318.95,3,Yes
CUST00118,39,Male,3783.56,25,142.33,318,Yes
CUST00119,52,Non-binary,251.06,39,436.01,264,No
CUST00120,45,Non-binary,2745.57,3,206.12,109,No
CUST00121,56,Male,3133.67,17,470.62,347,No
CUST00122,61,Male,3085.18,28,278.5,219,No
CUST00123,63,Male,298.02,18,261.45,106,Yes
CUST00124,41,Male,432.31,48,265.63,222,Yes
CUST00125,24,Male,1344.92,38,423.58,344,No
CUST00126,35,Non-binary,1267.3,38,304.3,73,Yes
CUST00127,42,Non-binary,4433.31,7,339.58,117,No
CUST00128,32,Female,3898.46,42,168.78,69,No
CUST00129,28,Non-binary,3411.8,6,265.71,299,Yes
CUST00130,23,Non-binary,2892.54,26,376.59,73,Yes
CUST00131,33,Non-binary,4072.17,4,455.53,10,No
CUST00132,49,Female,1187.25,15,449.53,364,Yes
CUST00133,62,Non-binary,900.65,30,297.21,208,No
CUST00134,28,Non-binary,327.04,42,142.23,117,Yes
CUST00135,33,Female,1880.01,46,257.29,309,Yes
CUST00136,63,Female,138.12,28,35.68,70,No
CUST00137,37,Non-binary,2254.85,3,264.49,346,No
CUST00138,39,Female,2359.47,15,68.09,303,No
CUST00139,50,Non-binary,2093.3,5,451.73,348,Yes
CUST00140,52,Non-binary,2854.64,12,177.23,341,Yes
CUST00141,28,Female,919.17,47,418.35,138,No
CUST00142,44,Non-binary,4777.09,1,86.3,171,No
CUST00143,50,Non-binary,4651.51,15,78.81,354,Yes
CUST00144,22,Non-binary,1328.52,18,109.88,170,No
CUST00145,29,Male,4579.93,18,282.88,90,No
CUST00146,34,Female,878.8,37,134.23,304,No
CUST00147,47,Male,3428.35,36,234.22,327,Yes
CUST00148,35,Male,1898.08,8,159.55,32,No
CUST00149,44,Non-binary,2268.82,38,170.65,33,Yes
CUST00150,36,Female,2627.51,29,365.22,226,No
CUST00151,28,Female,3545.89,18,34.54,253,Yes
CUST00152,55,Non-binary,108.44,36,239.48,0,Yes
CUST00153,38,Non-binary,4263.66,24,259.71,118,No
CUST00154,31,Male,1656.82,16,141.64,261,No
CUST00155,21,Female,1336.17,48,274.79,150,Yes
CUST00156,62,Female,1384.71,27,59.83,152,Yes
CUST00157,41,Non-binary,1887.5,24,279.01,327,No
CUST00158,61,Female,611.45,15,233.82,206,Yes
CUST00159,57,Female,2338.42,44,146.48,205,Yes
CUST00160,65,Male,1463.6,29,162.53,333,Yes
CUST00161,54,Non-binary,4709.11,34,152.44,6,Yes
CUST00162,47,Non-binary,2231.67,6,245.73,362,No
CUST00163,61,Male,3995.78,31,171.83,303,No
CUST00164,53,Female,4787.18,9,303.79,122,Yes
CUST00165,52,Male,1183.23,23,175.61,301,No
CUST00166,52,Non-binary,2392.88,20,451.95,179,Yes
CUST00167,35,Female,3144.44,10,120.1,334,No
CUST00168,38,Non-binary,3008.54,3,239.05,41,Yes
CUST00169,38,Female,1531.45,47,425.57,294,Yes
CUST00170,29,Non-binary,4708.12,11,253.09,299,No
CUST00171,63,Male,851.92,43,152.14,0,No
CUST00172,49,Female,4930.12,10,234.44,12,Yes
CUST00173,55,Female,1092.14,19,222.08,309,No
CUST00174,44,Male,944.55,38,299.88,277,No
CUST00175,63,Male,3140.87,24,251.16,125,Yes
CUST00176,45,Male,625.78,12,245.81,202,Yes
CUST00177,20,Non-binary,1658.98,11,168.73,306,Yes
CUST00178,32,Male,4382.67,11,152.28,55,Yes
CUST00179,57,Male,3813.89,40,35.17,364,Yes
CUST00180,51,Female,1528.06,16,102.08,29,No
CUST00181,34,Non-binary,4418.61,32,308.7,22,Yes
CUST00182,39,Non-binary,118.59,1,80.53,258,No
CUST00183,69,Male,128.97,29,22.8,308,Yes
CUST00184,56,Non-binary,2424.91,48,245.42,348,No
CUST00185,51,Male,1294.92,9,316.9,137,Yes
CUST00186,68,Non-binary,4209.34,10,417.39,143,No
CUST00187,61,Female,3825.03,33,241.92,90,No
CUST00188,57,Non-binary,4456.97,34,312.9,347,No
CUST00189,61,Male,1557.43,37,131.82,90,No
CUST00190,29,Non-binary,808.53,10,113.82,313,No
CUST00191,61,Female,4538.87,32,63.16,49,Yes
CUST00192,26,Non-binary,1180.73,25,97.41,290,Yes
CUST00193,18,Non-binary,3403.05,31,432.38,195,Yes
CUST00194,18,Male,3885.05,40,426.13,187,Yes
CUST00195,30,Female,3280.02,12,341.5,213,No
CUST00196,25,Non-binary,2019.43,27,316.97,171,Yes
CUST00197,49,Female,1628.59,24,434.76,271,Yes
CUST00198,47,Male,4742.53,7,470.31,21,No
CUST00199,27,Non-binary,3396.66,34,142.08,303,Yes
CUST00200,48,Female,4250.38,12,66.27,11,No
